"Label (Grouping)","Workers 16 years and over","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Drove alone","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 2-person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 3-person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 4-or-more person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Workers per car, truck, or van","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab)","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Walked","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Bicycle","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Taxicab, motorcycle, or other means","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Worked from home","Workers 16 years and over!!PLACE OF WORK","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked in county of residence","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked outside county of residence","Workers 16 years and over!!PLACE OF WORK!!Worked outside state of residence","Workers 16 years and over!!PLACE OF WORK!!Living in a place","Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked in place of residence","Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked outside place of residence","Workers 16 years and over!!PLACE OF WORK!!Not living in a place","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked in minor civil division of residence","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked outside minor civil division of residence","Workers 16 years and over!!PLACE OF WORK!!Not living in 12 selected states","Workers 16 years and over who did not work from home","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!12:00 a.m. to 4:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:00 a.m. to 5:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:30 a.m. to 5:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:00 a.m. to 6:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:30 a.m. to 6:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:00 a.m. to 7:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:30 a.m. to 7:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:00 a.m. to 8:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:30 a.m. to 8:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!9:00 a.m. to 11:59 p.m.","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Less than 10 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!10 to 14 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!15 to 19 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!20 to 24 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!25 to 29 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!30 to 34 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!35 to 44 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!45 to 59 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!60 or more minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes)","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Workers 16 years and over in households","VEHICLES AVAILABLE!!Workers 16 years and over in households!!No vehicle available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!1 vehicle available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!2 vehicles available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!3 or more vehicles available","PERCENT ALLOCATED","PERCENT ALLOCATED!!Means of transportation to work","PERCENT ALLOCATED!!Private vehicle occupancy","PERCENT ALLOCATED!!Place of work","PERCENT ALLOCATED!!Time of departure to go to work","PERCENT ALLOCATED!!Travel time to work","PERCENT ALLOCATED!!Vehicles available"
"        Margin of Error","±160","","±9.7","±11.5","±9.6","±7.5","±4.3","±6.4","±0.12","±6.5","±1.3","±4.8","±6.4","±5.2","","±4.3","±4.3","±4.3","±4.3","±4.3","±10.4","±10.4","±4.3","±4.3","±4.3","±4.3","±4.3","±153","","±9.3","±4.5","±4.5","±4.2","±3.0","±6.4","±7.4","±8.8","±4.5","±9.8","","±8.6","±9.0","±9.8","±8.3","±2.7","±4.6","±7.6","±3.6","±6.8","±3.5","","±160","±8.4","±12.1","±13.6","±9.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 4621, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,967","","70.6%","63.2%","7.4%","4.7%","0.7%","2.0%","1.07","8.4%","5.0%","0.8%","7.2%","8.0%","","99.5%","97.5%","2.0%","0.5%","100.0%","47.7%","52.3%","0.0%","0.0%","0.0%","0.0%","100.0%","2,730","","8.1%","2.5%","5.4%","9.6%","4.5%","14.2%","8.7%","21.2%","4.2%","21.5%","","7.3%","9.2%","23.0%","14.7%","2.7%","15.2%","6.9%","8.6%","12.5%","28.7","","2,958","4.3%","23.6%","38.9%","33.2%","","5.1%","7.1%","8.7%","10.4%","9.5%","0.2%"
"        Margin of Error","±286","","±5.2","±5.4","±2.9","±2.3","±0.8","±1.8","±0.03","±4.9","±2.0","±0.8","±3.9","±3.3","","±0.6","±1.7","±1.6","±0.6","±1.2","±7.8","±7.8","±1.2","±1.2","±1.2","±1.2","±1.2","±289","","±4.2","±1.7","±2.8","±3.6","±2.5","±4.1","±3.1","±6.7","±1.8","±4.5","","±3.1","±3.2","±5.9","±5.1","±1.7","±5.4","±2.6","±3.4","±5.3","±3.1","","±284","±3.3","±7.7","±7.4","±8.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,555","","69.6%","62.7%","6.9%","4.4%","0.2%","2.3%","1.07","10.6%","4.8%","1.5%","7.3%","6.2%","","99.5%","96.8%","2.7%","0.5%","100.0%","49.0%","51.0%","0.0%","0.0%","0.0%","0.0%","100.0%","1,458","","11.3%","4.2%","4.6%","12.4%","1.9%","17.3%","7.6%","18.8%","2.7%","19.3%","","7.9%","5.1%","21.5%","17.9%","3.7%","15.6%","6.4%","6.4%","15.4%","29.6","","1,551","3.4%","23.0%","41.7%","32.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±243","","±8.8","±9.0","±4.3","±3.7","±0.5","±2.4","±0.04","±7.9","±3.4","±1.5","±6.2","±3.7","","±0.7","±2.8","±2.6","±0.7","±2.2","±9.3","±9.3","±2.2","±2.2","±2.2","±2.2","±2.2","±242","","±6.6","±3.1","±4.0","±5.9","±2.2","±7.4","±3.9","±6.2","±2.5","±5.6","","±4.1","±3.3","±7.5","±9.2","±2.8","±6.7","±3.5","±4.2","±8.6","±4.7","","±242","±4.1","±11.2","±9.7","±10.1","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,412","","71.7%","63.7%","7.9%","5.0%","1.3%","1.7%","1.07","5.9%","5.3%","0.0%","7.2%","9.9%","","99.4%","98.2%","1.3%","0.6%","100.0%","46.2%","53.8%","0.0%","0.0%","0.0%","0.0%","100.0%","1,272","","4.3%","0.6%","6.4%","6.3%","7.6%","10.7%","9.9%","24.0%","6.1%","24.1%","","6.7%","13.8%","24.7%","10.9%","1.5%","14.7%","7.5%","11.2%","9.1%","27.5","","1,407","5.3%","24.2%","35.9%","34.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±176","","±8.0","±8.4","±4.1","±2.9","±1.4","±2.4","±0.04","±4.3","±3.6","±2.4","±5.9","±5.0","","±0.9","±2.2","±2.0","±0.9","±2.4","±9.6","±9.6","±2.4","±2.4","±2.4","±2.4","±2.4","±163","","±4.3","±1.0","±4.9","±3.4","±4.5","±4.8","±5.0","±10.7","±3.8","±7.2","","±5.1","±6.1","±8.0","±6.1","±1.8","±6.7","±3.8","±5.5","±3.9","±2.9","","±176","±4.3","±8.2","±7.9","±8.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 4622.01, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,856","","67.2%","63.7%","3.6%","2.8%","0.0%","0.8%","1.03","13.8%","5.2%","4.7%","1.1%","7.9%","","99.6%","96.3%","3.3%","0.4%","100.0%","36.5%","63.5%","0.0%","0.0%","0.0%","0.0%","100.0%","1,709","","6.4%","1.0%","2.4%","8.5%","5.7%","8.0%","11.5%","20.2%","5.7%","30.7%","","6.0%","18.1%","17.2%","8.6%","6.0%","8.3%","9.1%","12.8%","13.9%","29.8","","1,834","5.2%","40.0%","46.8%","8.0%","","7.3%","8.8%","8.9%","13.9%","10.2%","1.9%"
"        Margin of Error","±246","","±9.3","±9.3","±2.4","±1.9","±1.9","±1.3","±0.02","±6.2","±4.1","±3.2","±1.2","±4.9","","±0.7","±2.3","±2.4","±0.7","±1.9","±8.3","±8.3","±1.9","±1.9","±1.9","±1.9","±1.9","±230","","±4.2","±1.5","±1.7","±5.5","±2.6","±4.0","±4.9","±5.9","±3.2","±7.1","","±3.4","±8.7","±5.5","±3.7","±4.1","±4.7","±4.5","±5.8","±5.0","±3.4","","±244","±3.7","±9.9","±9.9","±5.0","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","916","","71.3%","69.2%","2.1%","1.3%","0.0%","0.8%","1.02","14.2%","5.3%","7.1%","0.0%","2.1%","","100.0%","95.0%","5.0%","0.0%","100.0%","32.0%","68.0%","0.0%","0.0%","0.0%","0.0%","100.0%","897","","11.6%","1.9%","3.2%","11.8%","5.1%","8.5%","6.9%","20.0%","6.9%","24.1%","","4.2%","16.1%","11.1%","13.2%","3.9%","13.3%","3.5%","21.9%","12.9%","32.3","","894","1.2%","38.7%","50.1%","10.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±150","","±10.1","±10.6","±2.2","±1.6","±3.7","±1.3","±0.02","±8.7","±6.0","±6.0","±3.7","±1.9","","±3.7","±4.4","±4.4","±3.7","±3.7","±11.2","±11.2","±3.7","±3.7","±3.7","±3.7","±3.7","±151","","±8.1","±2.8","±2.8","±7.8","±3.9","±5.6","±6.2","±9.9","±5.7","±8.3","","±3.2","±11.1","±5.9","±6.6","±4.1","±8.0","±3.0","±10.2","±7.3","±4.9","","±148","±2.1","±11.1","±11.5","±6.1","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","940","","63.3%","58.3%","5.0%","4.3%","0.0%","0.7%","1.04","13.4%","5.1%","2.4%","2.1%","13.6%","","99.3%","97.7%","1.6%","0.7%","100.0%","41.0%","59.0%","0.0%","0.0%","0.0%","0.0%","100.0%","812","","0.6%","0.0%","1.5%","4.8%","6.3%","7.4%","16.6%","20.6%","4.3%","37.9%","","8.0%","20.4%","23.9%","3.6%","8.4%","2.7%","15.4%","2.7%","14.9%","27.0","","940","9.0%","41.2%","43.6%","6.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±177","","±12.4","±12.1","±3.4","±3.1","±3.7","±1.3","±0.03","±7.5","±4.6","±2.8","±2.4","±9.1","","±1.3","±2.3","±1.9","±1.3","±3.7","±10.6","±10.6","±3.7","±3.7","±3.7","±3.7","±3.7","±154","","±1.0","±4.2","±2.4","±6.2","±2.9","±5.9","±7.1","±9.5","±3.7","±9.4","","±5.5","±10.3","±9.3","±3.0","±7.5","±2.5","±8.6","±2.7","±7.8","±4.4","","±177","±6.6","±12.2","±12.3","±5.2","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 4622.02, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,461","","57.8%","52.5%","5.3%","4.0%","0.0%","1.2%","1.06","12.5%","18.3%","1.2%","1.2%","9.2%","","97.9%","94.7%","3.3%","2.1%","100.0%","45.1%","54.9%","0.0%","0.0%","0.0%","0.0%","100.0%","1,327","","0.6%","3.2%","2.2%","5.8%","9.6%","9.9%","7.0%","19.3%","10.8%","31.7%","","12.1%","14.3%","13.3%","14.5%","2.3%","13.8%","7.4%","12.1%","10.2%","26.8","","1,453","1.4%","57.0%","39.0%","2.6%","","9.7%","9.2%","8.8%","18.4%","11.3%","0.7%"
"        Margin of Error","±287","","±10.8","±10.1","±3.3","±3.0","±2.4","±1.5","±0.04","±6.3","±7.0","±1.4","±1.3","±4.5","","±2.6","±3.3","±2.0","±2.6","±2.4","±8.0","±8.0","±2.4","±2.4","±2.4","±2.4","±2.4","±288","","±1.0","±3.7","±2.6","±5.2","±3.7","±6.2","±3.7","±7.5","±5.3","±6.0","","±6.8","±6.4","±4.7","±15.6","±2.1","±5.7","±3.7","±4.5","±4.9","±2.8","","±292","±1.6","±10.8","±10.3","±3.0","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","817","","54.5%","53.2%","1.2%","1.2%","0.0%","0.0%","1.01","14.1%","20.8%","2.1%","2.1%","6.5%","","97.9%","96.7%","1.2%","2.1%","100.0%","50.2%","49.8%","0.0%","0.0%","0.0%","0.0%","100.0%","764","","1.0%","4.6%","2.0%","7.5%","10.9%","11.4%","7.2%","22.1%","7.9%","25.5%","","11.5%","13.0%","11.8%","21.7%","2.4%","10.5%","8.4%","11.0%","9.8%","26.4","","817","1.2%","57.6%","39.4%","1.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±264","","±17.0","±16.7","±1.9","±1.9","±4.2","±4.2","±0.02","±10.9","±10.3","±2.5","±2.4","±4.7","","±2.7","±3.4","±1.9","±2.7","±4.2","±9.4","±9.4","±4.2","±4.2","±4.2","±4.2","±4.2","±262","","±1.7","±5.8","±2.4","±7.9","±5.3","±10.0","±5.8","±11.7","±6.8","±9.6","","±10.2","±8.6","±6.7","±24.9","±2.7","±7.4","±6.3","±4.9","±6.5","±3.5","","±264","±2.0","±16.9","±16.3","±2.7","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","644","","62.0%","51.6%","10.4%","7.6%","0.0%","2.8%","1.11","10.4%","15.1%","0.0%","0.0%","12.6%","","98.0%","92.1%","5.9%","2.0%","100.0%","38.7%","61.3%","0.0%","0.0%","0.0%","0.0%","100.0%","563","","0.0%","1.4%","2.5%","3.6%","7.8%","7.8%","6.7%","15.5%","14.7%","40.0%","","13.0%","16.2%","15.3%","4.8%","2.3%","18.3%","6.0%","13.5%","10.7%","27.2","","636","1.7%","56.1%","38.4%","3.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±115","","±10.3","±10.2","±5.9","±4.9","±5.3","±3.4","±0.07","±5.9","±7.2","±5.3","±5.3","±8.0","","±3.2","±5.0","±3.7","±3.2","±5.3","±10.7","±10.7","±5.3","±5.3","±5.3","±5.3","±5.3","±113","","±6.0","±2.3","±3.1","±3.6","±5.4","±5.2","±5.5","±9.2","±7.5","±9.6","","±8.0","±7.2","±7.8","±4.6","±3.5","±7.6","±4.9","±8.4","±5.2","±3.7","","±117","±2.5","±10.7","±10.6","±4.1","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 4623.01, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,722","","84.9%","77.5%","7.4%","7.4%","0.0%","0.0%","1.05","4.1%","4.1%","1.9%","2.2%","2.9%","","99.5%","98.0%","1.5%","0.5%","100.0%","34.7%","65.3%","0.0%","0.0%","0.0%","0.0%","100.0%","2,644","","7.0%","0.6%","2.8%","7.2%","6.4%","16.3%","8.9%","26.3%","3.8%","20.8%","","11.8%","15.4%","12.9%","7.5%","4.2%","15.6%","10.0%","8.5%","14.1%","28.7","","2,719","4.8%","27.9%","42.3%","24.9%","","11.2%","13.5%","14.3%","17.5%","17.5%","0.3%"
"        Margin of Error","±326","","±6.0","±6.7","±4.0","±4.0","±1.3","±1.3","±0.03","±2.7","±3.4","±1.6","±2.1","±2.2","","±0.7","±1.8","±1.6","±0.7","±1.3","±6.8","±6.8","±1.3","±1.3","±1.3","±1.3","±1.3","±335","","±4.3","±0.9","±2.0","±3.5","±3.5","±5.7","±3.5","±7.2","±2.3","±6.1","","±5.1","±5.3","±5.8","±4.1","±2.7","±4.9","±5.0","±3.7","±4.6","±3.0","","±326","±4.8","±7.6","±9.6","±9.5","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,167","","83.5%","77.6%","5.8%","5.8%","0.0%","0.0%","1.04","2.6%","5.1%","3.5%","1.4%","3.9%","","98.9%","95.3%","3.6%","1.1%","100.0%","29.0%","71.0%","0.0%","0.0%","0.0%","0.0%","100.0%","1,121","","8.8%","1.4%","2.9%","6.5%","11.9%","16.3%","6.5%","19.8%","4.5%","21.2%","","4.5%","17.8%","16.2%","2.0%","6.2%","15.3%","13.6%","9.1%","15.3%","30.3","","1,167","6.3%","26.9%","36.6%","30.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±198","","±9.2","±9.5","±3.8","±3.8","±3.0","±3.0","±0.03","±3.3","±5.8","±3.4","±1.6","±4.7","","±1.7","±4.4","±3.9","±1.7","±3.0","±8.4","±8.4","±3.0","±3.0","±3.0","±3.0","±3.0","±212","","±7.4","±2.2","±3.2","±4.5","±7.3","±8.6","±5.4","±9.3","±3.8","±10.5","","±4.4","±8.8","±7.3","±2.7","±4.6","±9.0","±7.0","±6.4","±8.2","±4.4","","±198","±6.7","±9.0","±9.9","±14.1","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,555","","86.0%","77.4%","8.6%","8.6%","0.0%","0.0%","1.05","5.3%","3.3%","0.6%","2.8%","2.1%","","100.0%","100.0%","0.0%","0.0%","100.0%","39.0%","61.0%","0.0%","0.0%","0.0%","0.0%","100.0%","1,523","","5.6%","0.0%","2.6%","7.7%","2.3%","16.3%","10.6%","31.1%","3.2%","20.6%","","17.1%","13.7%","10.4%","11.6%","2.8%","15.8%","7.4%","8.0%","13.3%","27.5","","1,552","3.7%","28.7%","46.6%","20.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±272","","±6.1","±7.7","±5.4","±5.4","±2.2","±2.2","±0.03","±4.0","±4.1","±1.0","±3.5","±2.0","","±2.2","±2.2","±2.2","±2.2","±2.2","±9.2","±9.2","±2.2","±2.2","±2.2","±2.2","±2.2","±274","","±4.9","±2.3","±2.8","±5.1","±1.8","±7.4","±5.2","±9.7","±2.5","±7.6","","±7.7","±6.0","±6.9","±6.7","±3.1","±6.9","±8.3","±4.1","±5.9","±4.2","","±271","±3.8","±10.3","±13.1","±10.1","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 4623.02, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,957","","73.9%","67.6%","6.3%","6.0%","0.4%","0.0%","1.04","5.7%","6.6%","4.4%","0.4%","8.9%","","100.0%","94.3%","5.7%","0.0%","100.0%","40.7%","59.3%","0.0%","0.0%","0.0%","0.0%","100.0%","1,782","","2.2%","3.3%","4.7%","4.2%","8.2%","6.5%","11.8%","22.9%","6.3%","29.8%","","11.8%","15.5%","10.8%","8.5%","2.4%","15.7%","13.4%","9.3%","12.6%","28.1","","1,946","1.4%","35.7%","55.3%","7.6%","","2.5%","3.7%","5.9%","13.3%","10.0%","0.0%"
"        Margin of Error","±210","","±7.2","±8.0","±2.9","±2.8","±0.6","±1.8","±0.02","±2.8","±3.7","±3.6","±0.6","±4.2","","±1.8","±4.4","±4.4","±1.8","±1.8","±8.8","±8.8","±1.8","±1.8","±1.8","±1.8","±1.8","±230","","±2.1","±3.7","±2.9","±3.5","±4.0","±3.4","±4.8","±7.7","±3.1","±8.0","","±5.4","±5.4","±3.9","±3.5","±2.0","±6.1","±7.5","±3.4","±5.1","±2.7","","±209","±1.4","±7.7","±8.9","±8.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,145","","68.6%","62.9%","5.8%","5.8%","0.0%","0.0%","1.04","4.3%","10.1%","6.0%","0.0%","10.9%","","100.0%","92.6%","7.4%","0.0%","100.0%","45.0%","55.0%","0.0%","0.0%","0.0%","0.0%","100.0%","1,020","","3.3%","3.2%","5.4%","6.7%","11.4%","4.7%","6.6%","22.9%","4.7%","31.1%","","14.3%","11.9%","12.4%","7.2%","1.7%","19.1%","16.6%","7.4%","9.6%","27.3","","1,136","1.6%","38.6%","48.4%","11.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±175","","±11.1","±11.4","±2.9","±2.9","±3.0","±3.0","±0.03","±3.4","±5.9","±5.2","±3.0","±6.6","","±3.0","±6.7","±6.7","±3.0","±3.0","±12.5","±12.5","±3.0","±3.0","±3.0","±3.0","±3.0","±193","","±3.4","±5.2","±4.7","±6.1","±6.3","±4.3","±4.5","±9.4","±3.2","±12.4","","±8.7","±6.1","±5.9","±4.1","±2.8","±10.2","±13.9","±5.1","±5.8","±4.2","","±172","±1.9","±10.3","±11.4","±13.2","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","812","","81.3%","74.1%","7.1%","6.3%","0.9%","0.0%","1.05","7.8%","1.7%","2.1%","1.0%","6.2%","","100.0%","96.8%","3.2%","0.0%","100.0%","34.6%","65.4%","0.0%","0.0%","0.0%","0.0%","100.0%","762","","0.7%","3.4%","3.8%","0.9%","3.9%","8.9%","18.9%","22.8%","8.5%","28.1%","","8.5%","20.3%","8.8%","10.4%","3.3%","11.2%","9.1%","11.9%","16.5%","29.2","","810","1.1%","31.7%","64.9%","2.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±143","","±8.2","±8.8","±4.3","±4.2","±1.4","±4.2","±0.03","±5.1","±1.9","±3.4","±1.5","±4.1","","±4.2","±4.8","±4.8","±4.2","±4.2","±9.9","±9.9","±4.2","±4.2","±4.2","±4.2","±4.2","±140","","±1.2","±5.1","±3.6","±1.5","±3.4","±4.8","±7.0","±7.8","±5.5","±9.6","","±5.8","±9.4","±5.5","±6.9","±3.2","±6.9","±6.8","±7.5","±7.4","±3.6","","±143","±1.8","±8.9","±9.0","±2.8","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 4624, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,141","","79.1%","70.9%","8.2%","5.3%","0.7%","2.1%","1.07","4.2%","5.0%","1.9%","1.9%","7.8%","","100.0%","95.6%","4.4%","0.0%","100.0%","44.7%","55.3%","0.0%","0.0%","0.0%","0.0%","100.0%","1,973","","0.5%","1.2%","2.1%","10.5%","14.2%","16.8%","6.7%","11.2%","6.2%","30.6%","","16.0%","18.2%","11.4%","10.3%","7.4%","11.4%","4.8%","10.2%","10.3%","25.6","","2,135","1.1%","23.9%","48.7%","26.2%","","7.0%","8.0%","9.2%","22.4%","10.0%","0.0%"
"        Margin of Error","±197","","±5.0","±5.8","±3.7","±2.8","±0.9","±1.8","±0.03","±2.1","±2.2","±1.5","±2.4","±4.2","","±1.6","±2.6","±2.6","±1.6","±1.6","±8.1","±8.1","±1.6","±1.6","±1.6","±1.6","±1.6","±204","","±0.8","±2.0","±1.6","±4.2","±4.6","±4.2","±2.7","±4.4","±3.3","±5.8","","±5.4","±6.1","±4.3","±3.5","±3.3","±4.2","±3.2","±4.4","±3.8","±2.9","","±197","±1.0","±6.8","±8.1","±7.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
